"","taxon","taxon_group","group"
"326","Erythropsidinium_sp.","Erythropsidinium_sp.","DINOFLAGELLATES"
"327","Estrelladiniu","Estrelladiniu","DINOFLAGELLATES"
"328","Estrelladinium_SP.","Estrelladinium_SP.","DINOFLAGELLATES"
"329","Estrelladinium_sp.","Estrelladinium_sp.","DINOFLAGELLATES"
"330","Estrelladiniumsp.","Estrelladiniumsp.","DINOFLAGELLATES"
"331","Eucampia_cornuta","Eucampia_cornuta","DIATOMS"
"332","Eucampia_groelandica","Eucampia_groelandica","DIATOMS"
"333","Eucampia_groenlandica","Eucampia_groenlandica","DIATOMS"
"334","Eucampia_sp.","Eucampia_sp.","DIATOMS"
"335","Eucampia_zodiacus","Eucampia_zodiacus","DIATOMS"
"336","Euglenofita","Euglenofita","OTHERS"
"337","Euglenophyte","Euglenophyte","OTHERS"
"338","Eunotia","Eunotia","DIATOMS"
"339","Eunotia_sp.","Eunotia_sp.","DIATOMS"
"340","Eutreptia_sp","Eutreptia_sp","OTHERS"
"341","Eutreptia_sp.","Eutreptia_sp.","OTHERS"
"342","Eutreptiella_gymnastica","Eutreptiella_gymnastica","OTHERS"
"343","Eutreptiella_sp","Eutreptiella_sp","OTHERS"
"344","Eutreptiella_sp.","Eutreptiella_sp.","OTHERS"
"345","Filamentous_Cyanobacteria","Filamentous_Cyanobacteria","CYANOBACTERIA"
"346","Filamentous_cyanobacteria","Filamentous_cyanobacteria","CYANOBACTERIA"
"347","Filamentous_cyanobacteriu","Filamentous_cyanobacteriu","CYANOBACTERIA"
"348","Flagelados","Flagelados","OTHERS"
"349","Flagellates","Flagellates","OTHERS"
"350","Fragilariopsis_sp.","Fragilariopsis_sp.","DIATOMS"
"351","Fragilidium_sp.","Fragilidium_sp.","DINOFLAGELLATES"
"352","Fragillaria_sp.","Fragillaria_sp.","DIATOMS"
"353","Fragillariopsis_cf._Oceanicu","Fragillariopsis_cf._Oceanicu","DIATOMS"
"354","Fragillariopsis_cf._oceanica","Fragillariopsis_cf._oceanica","DIATOMS"
"355","Fragillariopsis_cf._oceanicu","Fragillariopsis_cf._oceanicu","DIATOMS"
"356","Fragillariopsis_cf_oceanica","Fragillariopsis_cf_oceanica","DIATOMS"
"357","Fragillariopsis_cf_oceanicu","Fragillariopsis_cf_oceanicu","DIATOMS"
"358","Fragillariopsis_sp.","Fragillariopsis_sp.","DIATOMS"
"359","Girodinium_acuminatu","Girodinium_acuminatu","DINOFLAGELLATES"
"360","Glenodinium_sp.","Glenodinium_sp.","DINOFLAGELLATES"
"361","Gloeotrichia_echinulata","Gloeotrichia_echinulata","CYANOBACTERIA"
"362","Gomyalax_fragilis","Gomyalax_fragilis","DINOFLAGELLATES"
"363","Goniodoma_acuminatus","Goniodoma_acuminatus","DINOFLAGELLATES"
"364","Goniodoma_polyedricu","Goniodoma_polyedricu","DINOFLAGELLATES"
"365","Goniodoma_sp.","Goniodoma_sp.","DINOFLAGELLATES"
"366","Gonodioma_sphaericu","Gonodioma_sphaericu","DINOFLAGELLATES"
"367","Gonyalux_fragilis","Gonyalux_fragilis","DINOFLAGELLATES"
"368","Gonyaulax_apiculata","Gonyaulax_apiculata","DINOFLAGELLATES"
"369","Gonyaulax_diegensis","Gonyaulax_diegensis","DINOFLAGELLATES"
"370","Gonyaulax_digitale","Gonyaulax_digitale","DINOFLAGELLATES"
"371","Gonyaulax_fragilis","Gonyaulax_fragilis","DINOFLAGELLATES"
"372","Gonyaulax_minuta","Gonyaulax_minuta","DINOFLAGELLATES"
"373","Gonyaulax_polygramma","Gonyaulax_polygramma","DINOFLAGELLATES"
"374","Gonyaulax_quinquecorne","Gonyaulax_quinquecorne","DINOFLAGELLATES"
"375","Gonyaulax_sp","Gonyaulax_sp","DINOFLAGELLATES"
"376","Gonyaulax_sp.","Gonyaulax_sp.","DINOFLAGELLATES"
"377","Gonyaulax_spinifera","Gonyaulax_spinifera","DINOFLAGELLATES"
"378","Gonyaulax_turbiney","Gonyaulax_turbiney","DINOFLAGELLATES"
"379","Grammatophora_marina","Grammatophora_marina","DIATOMS"
"380","Grammatophora_serpen","Grammatophora_serpen","DIATOMS"
"381","Grammatophora_serpentina","Grammatophora_serpentina","DIATOMS"
"382","Grammatophora_sp.","Grammatophora_sp.","DIATOMS"
"383","Grammatphora_serpentina","Grammatphora_serpentina","DIATOMS"
"384","Green_flagellate","Green_flagellate","OTHERS"
"385","Guinardia_cylindrus","Guinardia_cylindrus","DIATOMS"
"386","Guinardia_delicatula","Guinardia_delicatula","DIATOMS"
"387","Guinardia_flaccida","Guinardia_flaccida","DIATOMS"
"388","Guinardia_sp.","Guinardia_sp.","DIATOMS"
"389","Guinardia_striata","Guinardia_striata","DIATOMS"
"390","Gymnodinim_sp.","Gymnodinim_sp.","DINOFLAGELLATES"
"391","Gymnodinim_splendens","Gymnodinim_splendens","DINOFLAGELLATES"
"392","Gymnodinium_acuminatu","Gymnodinium_acuminatu","DINOFLAGELLATES"
"393","Gymnodinium_catenatu","Gymnodinium_catenatu","DINOFLAGELLATES"
"394","Gymnodinium_cf._gracile","Gymnodinium_cf._gracile","DINOFLAGELLATES"
"395","Gymnodinium_conicu","Gymnodinium_conicu","DINOFLAGELLATES"
"396","Gymnodinium_flavus","Gymnodinium_flavus","DINOFLAGELLATES"
"397","Gymnodinium_gelbu","Gymnodinium_gelbu","DINOFLAGELLATES"
"398","Gymnodinium_gibberu","Gymnodinium_gibberu","DINOFLAGELLATES"
"399","Gymnodinium_lyra","Gymnodinium_lyra","DINOFLAGELLATES"
"400","Gymnodinium_mirabile","Gymnodinium_mirabile","DINOFLAGELLATES"
"401","Gymnodinium_mitratu","Gymnodinium_mitratu","DINOFLAGELLATES"
"402","Gymnodinium_ochraceu","Gymnodinium_ochraceu","DINOFLAGELLATES"
"403","Gymnodinium_pequegno","Gymnodinium_pequegno","DINOFLAGELLATES"
"404","Gymnodinium_punctatu","Gymnodinium_punctatu","DINOFLAGELLATES"
"405","Gymnodinium_rotundatu","Gymnodinium_rotundatu","DINOFLAGELLATES"
"406","Gymnodinium_rubru","Gymnodinium_rubru","DINOFLAGELLATES"
"407","Gymnodinium_sanguine","Gymnodinium_sanguine","DINOFLAGELLATES"
"408","Gymnodinium_sanguinea","Gymnodinium_sanguinea","DINOFLAGELLATES"
"409","Gymnodinium_sanguineu","Gymnodinium_sanguineu","DINOFLAGELLATES"
"410","Gymnodinium_scopulosu","Gymnodinium_scopulosu","DINOFLAGELLATES"
"411","Gymnodinium_small","Gymnodinium_small","DINOFLAGELLATES"
"412","Gymnodinium_sp","Gymnodinium_sp","DINOFLAGELLATES"
"413","Gymnodinium_sp.","Gymnodinium_sp.","DINOFLAGELLATES"
"414","Gymnodinium_sp._Large","Gymnodinium_sp._Large","DINOFLAGELLATES"
"415","Gymnodinium_sp._Small","Gymnodinium_sp._Small","DINOFLAGELLATES"
"416","Gymnodinium_sp._gran","Gymnodinium_sp._gran","DINOFLAGELLATES"
"417","Gymnodinium_sp._large","Gymnodinium_sp._large","DINOFLAGELLATES"
"418","Gymnodinium_sp._small","Gymnodinium_sp._small","DINOFLAGELLATES"
"419","Gymnodinium_splendens","Gymnodinium_splendens","DINOFLAGELLATES"
"420","Gymnodinium_striatu","Gymnodinium_striatu","DINOFLAGELLATES"
"421","Gymnodinium_variabile","Gymnodinium_variabile","DINOFLAGELLATES"
"422","Gyrodinium_acuminatu","Gyrodinium_acuminatu","DINOFLAGELLATES"
"423","Gyrodinium_af._grave","Gyrodinium_af._grave","DINOFLAGELLATES"
"424","Gyrodinium_aff._grave","Gyrodinium_aff._grave","DINOFLAGELLATES"
"425","Gyrodinium_aff_grave","Gyrodinium_aff_grave","DINOFLAGELLATES"
"426","Gyrodinium_biconicu","Gyrodinium_biconicu","DINOFLAGELLATES"
"427","Gyrodinium_cf._aciculatu","Gyrodinium_cf._aciculatu","DINOFLAGELLATES"
"428","Gyrodinium_cf._acutu","Gyrodinium_cf._acutu","DINOFLAGELLATES"
"429","Gyrodinium_cf._gracile","Gyrodinium_cf._gracile","DINOFLAGELLATES"
"430","Gyrodinium_cf._pingue","Gyrodinium_cf._pingue","DINOFLAGELLATES"
"431","Gyrodinium_cf.acutu","Gyrodinium_cf.acutu","DINOFLAGELLATES"
"432","Gyrodinium_cf_acutu","Gyrodinium_cf_acutu","DINOFLAGELLATES"
"433","Gyrodinium_fissu","Gyrodinium_fissu","DINOFLAGELLATES"
"434","Gyrodinium_fisu","Gyrodinium_fisu","DINOFLAGELLATES"
"435","Gyrodinium_foliaceu","Gyrodinium_foliaceu","DINOFLAGELLATES"
"436","Gyrodinium_fulvu","Gyrodinium_fulvu","DINOFLAGELLATES"
"437","Gyrodinium_fusiforme","Gyrodinium_fusiforme","DINOFLAGELLATES"
"438","Gyrodinium_fusiformis","Gyrodinium_fusiformis","DINOFLAGELLATES"
"439","Gyrodinium_lachrima","Gyrodinium_lachrima","DINOFLAGELLATES"
"440","Gyrodinium_lachryma","Gyrodinium_lachryma","DINOFLAGELLATES"
"441","Gyrodinium_lacrima","Gyrodinium_lacrima","DINOFLAGELLATES"
"442","Gyrodinium_nasutu","Gyrodinium_nasutu","DINOFLAGELLATES"
"443","Gyrodinium_pingue","Gyrodinium_pingue","DINOFLAGELLATES"
"444","Gyrodinium_pingüe","Gyrodinium_pingüe","DINOFLAGELLATES"
"445","Gyrodinium_sp","Gyrodinium_sp","DINOFLAGELLATES"
"446","Gyrodinium_sp.","Gyrodinium_sp.","DINOFLAGELLATES"
"447","Gyrodinium_sp._3","Gyrodinium_sp._3","DINOFLAGELLATES"
"448","Gyrodinium_sp_.3","Gyrodinium_sp_.3","DINOFLAGELLATES"
"449","Gyrodinium_spiral.","Gyrodinium_spiral.","DINOFLAGELLATES"
"450","Gyrodinium_spirale","Gyrodinium_spirale","DINOFLAGELLATES"
"451","Gyrodinium_spiralis","Gyrodinium_spiralis","DINOFLAGELLATES"
"452","Gyrodinium_splendens","Gyrodinium_splendens","DINOFLAGELLATES"
"453","Gyrodinium_varians","Gyrodinium_varians","DINOFLAGELLATES"
"454","Gyrodinium_virgatu","Gyrodinium_virgatu","DINOFLAGELLATES"
"455","Gyrosigma_sp.","Gyrosigma_sp.","DIATOMS"
"456","Haloppapus_adriaticus","Haloppapus_adriaticus","COCCOLITHOPHORIDS"
"457","Haloppapus_sp.","Haloppapus_sp.","COCCOLITHOPHORIDS"
"458","Haslea_waiwrikae","Haslea_waiwrikae","DIATOMS"
"459","Haslea_wawrikae","Haslea_wawrikae","DIATOMS"
"460","Helicosphaera_hyalina","Helicosphaera_hyalina","COCCOLITHOPHORIDS"
"461","Helicosphaera_sp.","Helicosphaera_sp.","COCCOLITHOPHORIDS"
"462","Helicotheca_thamensis","Helicotheca_thamensis","DIATOMS"
"463","Hellabdosphaera","Hellabdosphaera","COCCOLITHOPHORIDS"
"464","Hellabdosphaera_sp.","Hellabdosphaera_sp.","COCCOLITHOPHORIDS"
"465","Hemialus_heibergii","Hemialus_heibergii","DIATOMS"
"466","Hemiaulus_hauckii","Hemiaulus_hauckii","DIATOMS"
"467","Hemiaulus_heibergii","Hemiaulus_heibergii","DIATOMS"
"468","Hemiaulus_membranaceus","Hemiaulus_membranaceus","DIATOMS"
"469","Hemiaulus_sinensis","Hemiaulus_sinensis","DIATOMS"
"470","Hemidinium_sp","Hemidinium_sp","DINOFLAGELLATES"
"471","Hemidinium_sp.","Hemidinium_sp.","DINOFLAGELLATES"
"472","Heterocapsa_sp.","Heterocapsa_sp.","DINOFLAGELLATES"
"473","Heterocapsa_triqueta","Heterocapsa_triqueta","DINOFLAGELLATES"
"474","Heterocapsa_triquetra","Heterocapsa_triquetra","DINOFLAGELLATES"
"475","Heterolaucus_polyedricu","Heterolaucus_polyedricu","DINOFLAGELLATES"
"476","Histioneis_sp.","Histioneis_sp.","DINOFLAGELLATES"
"477","Johannebaptistia_pellucida","Johannebaptistia_pellucida","CYANOBACTERIA"
"478","Johannebaptistia_sp","Johannebaptistia_sp","CYANOBACTERIA"
"479","Johannebaptistia_sp.","Johannebaptistia_sp.","CYANOBACTERIA"
"480","Johannesbaptisitia_pellucida","Johannesbaptisitia_pellucida","CYANOBACTERIA"
"481","Johannesbaptistia_pellucida","Johannesbaptistia_pellucida","CYANOBACTERIA"
"482","Johannesbaptistia_sp","Johannesbaptistia_sp","CYANOBACTERIA"
"483","Johannesbaptistia_sp.","Johannesbaptistia_sp.","CYANOBACTERIA"
"484","Katodinium_sp.","Katodinium_sp.","DINOFLAGELLATES"
"485","Large_aked_dinoflagellate","Large_aked_dinoflagellate","DINOFLAGELLATES"
"486","Large_naked_dinoflagellate","Large_naked_dinoflagellate","DINOFLAGELLATES"
"487","Large_naked_dinoflagellate_3","Large_naked_dinoflagellate_3","DINOFLAGELLATES"
"488","Large_naked_dinoflagellate_desnudo_grand","Large_naked_dinoflagellate_desnudo_grand","DINOFLAGELLATES"
"489","Large_pennate_diato","Large_pennate_diato","DIATOMS"
"490","Lauderia_annulata","Lauderia_annulata","DIATOMS"
"491","Lauderia_borealis","Lauderia_borealis","DIATOMS"
"492","Lauderia_borialis","Lauderia_borialis","DIATOMS"
"493","Lauderia_shroederii","Lauderia_shroederii","DIATOMS"
"494","Leptocilindrus_danicus","Leptocilindrus_danicus","DIATOMS"
"495","Leptocilindrus_mediterra","Leptocilindrus_mediterra","DIATOMS"
"496","Leptocilindrus_mediterraeus","Leptocilindrus_mediterraeus","DIATOMS"
"497","Leptocilindrus_mediterranea","Leptocilindrus_mediterranea","DIATOMS"
"498","Leptocilindrus_mediterraneu","Leptocilindrus_mediterraneu","DIATOMS"
"499","Leptocilindrus_mediterraneus","Leptocilindrus_mediterraneus","DIATOMS"
"500","Leptocylindrus_danicus","Leptocylindrus_danicus","DIATOMS"
"501","Leptocylindrus_mediterranea","Leptocylindrus_mediterranea","DIATOMS"
"502","Leptocylindrus_minimu","Leptocylindrus_minimu","DIATOMS"
"503","Leptocylindrus_minimus","Leptocylindrus_minimus","DIATOMS"
"504","Licmophora_abreviata","Licmophora_abreviata","DIATOMS"
"505","Licmophora_tenuis","Licmophora_tenuis","DIATOMS"
"506","Lingulod_polyedric","Lingulod_polyedric","DINOFLAGELLATES"
"507","Lingulod_polyedric_Gona","Lingulod_polyedric_Gona","DINOFLAGELLATES"
"508","Lingulod_polyedricu","Lingulod_polyedricu","DINOFLAGELLATES"
"509","Lingulod_polyedricum_(Gonyau)","Lingulod_polyedricum_(Gonyau)","DINOFLAGELLATES"
"510","Lingulodinium_polyedric","Lingulodinium_polyedric","DINOFLAGELLATES"
"511","Lingulodinium_polyedricu","Lingulodinium_polyedricu","DINOFLAGELLATES"
"512","Lingulodinum_polyedricu","Lingulodinum_polyedricu","DINOFLAGELLATES"
"513","Lioloma_pacificu","Lioloma_pacificu","DIATOMS"
"514","Lioloma_sp","Lioloma_sp","DIATOMS"
"515","Lioloma_sp.","Lioloma_sp.","DIATOMS"
"516","Lyngbia_sp.","Lyngbia_sp.","CYANOBACTERIA"
"517","MICROPHYTOPLANKTON_ABUNDANCE","MICROPHYTOPLANKTON_ABUNDANCE","TOTAL"
"518","Mastogloia_erythrea","Mastogloia_erythrea","DIATOMS"
"519","Melosira_sp","Melosira_sp","DIATOMS"
"520","Melosira_sp.","Melosira_sp.","DIATOMS"
"521","Merismopedia_sp.","Merismopedia_sp.","CYANOBACTERIA"
"522","Mesoddinium_rubru","Mesoddinium_rubru","OTHERS"
"523","Mesodinium_robru","Mesodinium_robru","DINOFLAGELLATES"
"524","Mesodinium_rubru","Mesodinium_rubru","OTHERS"
"525","Mesoporos_perforatus","Mesoporos_perforatus","DINOFLAGELLATES"
"526","Mesoporus_perforatus","Mesoporus_perforatus","DINOFLAGELLATES"
"527","Meuniera_membranacea","Meuniera_membranacea","DIATOMS"
"528","Michaelsarsia_elegans","Michaelsarsia_elegans","COCCOLITHOPHORIDS"
"529","Microdiato","Microdiato","DIATOMS"
"530","Microdiatomea","Microdiatomea","DIATOMS"
"531","Microdiatoms","Microdiatoms","DIATOMS"
"532","Micronavicula","Micronavicula","DIATOMS"
"533","Miraltia_sp.","Miraltia_sp.","DIATOMS"
"534","Murayella_biconica","Murayella_biconica","DINOFLAGELLATES"
"535","NUMBER_OF_OTHERS","NUMBER_OF_OTHERS","OTHERS"
"536","Naked_Dinoflagellate_in_chain","Naked_Dinoflagellate_in_chain","DINOFLAGELLATES"
"537","Naked_dinnoflagellate","Naked_dinnoflagellate","DINOFLAGELLATES"
"538","Naked_dinnoflagellate_2","Naked_dinnoflagellate_2","DINOFLAGELLATES"
"539","Naked_dinnoflagellate_in_chain","Naked_dinnoflagellate_in_chain","DINOFLAGELLATES"
"540","Naked_dinoflagellate","Naked_dinoflagellate","DINOFLAGELLATES"
"541","Naked_dinoflagellate_2","Naked_dinoflagellate_2","DINOFLAGELLATES"
"542","Naked_dinoflagellate_in_chain","Naked_dinoflagellate_in_chain","DINOFLAGELLATES"
"543","Naked_dinoflagellate_in_chains","Naked_dinoflagellate_in_chains","DINOFLAGELLATES"
"544","Naked_dinoflagellate_large","Naked_dinoflagellate_large","DINOFLAGELLATES"
"545","Naked_dinoflagellte_in_chains","Naked_dinoflagellte_in_chains","DINOFLAGELLATES"
"546","Navicula_brevis","Navicula_brevis","DIATOMS"
"547","Navicula_cancellata","Navicula_cancellata","DIATOMS"
"548","Navicula_cf._directa","Navicula_cf._directa","DIATOMS"
"549","Navicula_cf_directa","Navicula_cf_directa","DIATOMS"
"550","Navicula_crabro","Navicula_crabro","DIATOMS"
"551","Navicula_distans","Navicula_distans","DIATOMS"
"552","Navicula_hennedyi","Navicula_hennedyi","DIATOMS"
"553","Navicula_lyra","Navicula_lyra","DIATOMS"
"554","Navicula_membranacea","Navicula_membranacea","DIATOMS"
"555","Navicula_septentrionalis","Navicula_septentrionalis","DIATOMS"
"556","Navicula_sp","Navicula_sp","DIATOMS"
"557","Navicula_sp.","Navicula_sp.","DIATOMS"
"558","Navicula_yaensis","Navicula_yaensis","DIATOMS"
"559","Navicula_yarrensis","Navicula_yarrensis","DIATOMS"
"560","Neostreototheca_sp.","Neostreototheca_sp.","DIATOMS"
"561","Nitzchia_cf._fontifuga","Nitzchia_cf._fontifuga","DIATOMS"
"562","Nitzchia_cf_fontifuga","Nitzchia_cf_fontifuga","DIATOMS"
"563","Nitzchia_fluminense","Nitzchia_fluminense","DIATOMS"
"564","Nitzchia_fontifuga","Nitzchia_fontifuga","DIATOMS"
"565","Nitzchia_insignis","Nitzchia_insignis","DIATOMS"
"566","Nitzchia_lanceolata","Nitzchia_lanceolata","DIATOMS"
"567","Nitzschia_angularis","Nitzschia_angularis","DIATOMS"
"568","Nitzschia_armorilan","Nitzschia_armorilan","DIATOMS"
"569","Nitzschia_cf._silicua","Nitzschia_cf._silicua","DIATOMS"
"570","Nitzschia_cf.silicua","Nitzschia_cf.silicua","DIATOMS"
"571","Nitzschia_cf_.silicua","Nitzschia_cf_.silicua","DIATOMS"
"572","Nitzschia_cf_silicua","Nitzschia_cf_silicua","DIATOMS"
"573","Nitzschia_fluminense","Nitzschia_fluminense","DIATOMS"
"574","Nitzschia_fontifuga","Nitzschia_fontifuga","DIATOMS"
"575","Nitzschia_insignis","Nitzschia_insignis","DIATOMS"
"576","Nitzschia_lanceolata","Nitzschia_lanceolata","DIATOMS"
"577","Nitzschia_longissima","Nitzschia_longissima","DIATOMS"
"578","Nitzschia_paradoxa","Nitzschia_paradoxa","DIATOMS"
"579","Nitzschia_recta","Nitzschia_recta","DIATOMS"
"580","Nitzschia_rostrata","Nitzschia_rostrata","DIATOMS"
"581","Nitzschia_sicula","Nitzschia_sicula","DIATOMS"
"582","Nitzschia_sigma","Nitzschia_sigma","DIATOMS"
"583","Nitzschia_socialis","Nitzschia_socialis","DIATOMS"
"584","Nitzschia_sp","Nitzschia_sp","DIATOMS"
"585","Nitzschia_sp.","Nitzschia_sp.","DIATOMS"
"586","Nitzschia_sp.2","Nitzschia_sp.2","DIATOMS"
"587","Nitzschia_sp._2","Nitzschia_sp._2","DIATOMS"
"588","Nitzschia_sp2","Nitzschia_sp2","DIATOMS"
"589","Noctiluca_milliaris","Noctiluca_milliaris","DINOFLAGELLATES"
"590","Ntzschia_armorilan","Ntzschia_armorilan","DIATOMS"
"591","Number_of_species","Number_of_species","COCCOLITHOPHORIDS"
"592","OTHERS_ABUNDANCE","OTHERS_ABUNDANCE","TOTAL"
"593","OTHERS_SPECIES","OTHERS_SPECIES","TOTAL"
"594","Odontella_aurita","Odontella_aurita","DIATOMS"
"595","Odontella_longicruris","Odontella_longicruris","DIATOMS"
"596","Odontella_mobiliensis","Odontella_mobiliensis","DIATOMS"
"597","Odontella_regia","Odontella_regia","DIATOMS"
"598","Odontella_sinensis","Odontella_sinensis","DIATOMS"
"599","Odontella_sp.","Odontella_sp.","DIATOMS"
"600","Onithocercus_sp.","Onithocercus_sp.","DINOFLAGELLATES"
"601","Oolithus_fragilis","Oolithus_fragilis","COCCOLITHOPHORIDS"
"602","Ophiaster_hydroideus","Ophiaster_hydroideus","COCCOLITHOPHORIDS"
"603","Ophiaster_hydroidevus","Ophiaster_hydroidevus","COCCOLITHOPHORIDS"
"604","Ophiaster_sp.","Ophiaster_sp.","COCCOLITHOPHORIDS"
"605","Ornithocercus_magnificu","Ornithocercus_magnificu","DINOFLAGELLATES"
"606","Ornithocercus_quadratus","Ornithocercus_quadratus","DINOFLAGELLATES"
"607","Ornithocercus_sp.","Ornithocercus_sp.","DINOFLAGELLATES"
"608","Ornithocercus_steinii","Ornithocercus_steinii","DINOFLAGELLATES"
"609","Ornitocercus_magnificu","Ornitocercus_magnificu","DINOFLAGELLATES"
"610","Oscillatoria_sp.","Oscillatoria_sp.","COCCOLITHOPHORIDS"
"611","Others_abundance","Others_abundance","TOTAL"
"612","Oxiphysis_oxitoxoide","Oxiphysis_oxitoxoide","DINOFLAGELLATES"
"613","Oxiphysis_oxitoxoides","Oxiphysis_oxitoxoides","DINOFLAGELLATES"
"614","Oxiphysis_oxytoxoide","Oxiphysis_oxytoxoide","DINOFLAGELLATES"
"615","Oxiphysis_sp.","Oxiphysis_sp.","DINOFLAGELLATES"
"616","Oxitoxum_elegans","Oxitoxum_elegans","DIATOMS"
"617","Oxyphisis_sp","Oxyphisis_sp","DINOFLAGELLATES"
"618","Oxyphisis_sp.","Oxyphisis_sp.","DINOFLAGELLATES"
"619","Oxyphysis_oxytoxoide","Oxyphysis_oxytoxoide","DINOFLAGELLATES"
"620","Oxyphysis_sp.","Oxyphysis_sp.","DINOFLAGELLATES"
"621","Oxytosum_elegans","Oxytosum_elegans","DINOFLAGELLATES"
"622","Oxytosum_gracile","Oxytosum_gracile","DINOFLAGELLATES"
"623","Oxytosum_longiceps","Oxytosum_longiceps","DINOFLAGELLATES"
"624","Oxytosum_scolopax","Oxytosum_scolopax","DINOFLAGELLATES"
"625","Oxytosum_sp.","Oxytosum_sp.","DINOFLAGELLATES"
"626","Oxytosus_gracile","Oxytosus_gracile","DINOFLAGELLATES"
"627","Oxytoxum_elegans","Oxytoxum_elegans","DINOFLAGELLATES"
"628","Oxytoxum_gracile","Oxytoxum_gracile","DINOFLAGELLATES"
"629","Oxytoxum_gracilis","Oxytoxum_gracilis","DINOFLAGELLATES"
"630","Oxytoxum_laticeps","Oxytoxum_laticeps","DINOFLAGELLATES"
"631","Oxytoxum_longiceps","Oxytoxum_longiceps","DINOFLAGELLATES"
"632","Oxytoxum_milneri","Oxytoxum_milneri","DINOFLAGELLATES"
"633","Oxytoxum_reticulatu","Oxytoxum_reticulatu","DINOFLAGELLATES"
"634","Oxytoxum_scolopax","Oxytoxum_scolopax","DINOFLAGELLATES"
"635","Oxytoxum_sp.","Oxytoxum_sp.","DINOFLAGELLATES"
"636","Oxytoxum_sphaeroideu","Oxytoxum_sphaeroideu","DINOFLAGELLATES"
"637","Oxytoxum_tesselatu","Oxytoxum_tesselatu","DINOFLAGELLATES"
"638","Oxytoxum_viridis","Oxytoxum_viridis","DINOFLAGELLATES"
"639","Paired-centric_diato","Paired-centric_diato","DIATOMS"
"640","Paired_centric_diato","Paired_centric_diato","DIATOMS"
"641","Paired_entric_diato","Paired_entric_diato","DIATOMS"
"642","Palmelloid_Colony","Palmelloid_Colony","OTHERS"
"643","Palmelloid_colony","Palmelloid_colony","OTHERS"
"644","Palmeloid_colony","Palmeloid_colony","OTHERS"
"645","Papposphaera_sp.","Papposphaera_sp.","COCCOLITHOPHORIDS"
"646","Paralia_sulcata","Paralia_sulcata","DIATOMS"
"647","Penate_diato","Penate_diato","DIATOMS"
"648","Pennate_diato","Pennate_diato","DIATOMS"
"649","Phaeodactilum_tricornutu","Phaeodactilum_tricornutu","DIATOMS"
"650","Phalachroma_mitra","Phalachroma_mitra","DINOFLAGELLATES"
"651","Phalachroma_rotundata","Phalachroma_rotundata","DINOFLAGELLATES"
"652","Phalachroma_scrobiculata","Phalachroma_scrobiculata","DINOFLAGELLATES"
"653","Phalacroma_favus","Phalacroma_favus","DINOFLAGELLATES"
"654","Phalacroma_ovu","Phalacroma_ovu","DINOFLAGELLATES"
"655","Plagiogramma_sp.","Plagiogramma_sp.","DIATOMS"
